"","V1","V2","V3","V4"
"1",2,10.6,14.1,0.603676466953332
"2",1.2,20.6,15.2,0.532109060795009
"3",3,Inf,-Inf,0
"4",1.4,1.9,5.4,0.889503256003256
"5",2.9,Inf,-Inf,0.0426550802139037
"6",3,Inf,-Inf,0
