"","V1","V2","V3","V4"
"1",0.1,1,2.4,0.970384615384616
"2",0.3,1,4.6,0.947384615384615
"3",12.9,0,19.4,0.272
"4",6.4,0,16.6,0.455
"5",2.2,Inf,-Inf,0.49207515588127
"6",0.9,0,5.6,0.935
