"","V1","V2","V3","V4"
"1",0.7,21.9,7.6,0.672073398157333
"2",0,1.1,1.1,0.940106837606838
"3",12,0,19,0.28
"4",9.3,1,17.7,0.376230769230769
"5",14.5,3.3,20.2,0.261344000530047
"6",8.5,4.5,17.3,0.369237591297797
