"","V1","V2","V3","V4"
"1",1.5,11.7,10.5,0.676765429532248
"2",0.2,1.6,3,0.915360398860399
"3",12.3,0,19,0.279
"4",9.7,1.4,17.9,0.376230769230769
"5",15.8,1.5,20.1,0.245512820512821
"6",9.4,3.9,18,0.358599427392531
