"","V1","V2","V3","V4"
"1",2,6,15.2,0.721045177045177
"2",1,18.5,14.3,0.602485760254025
"3",2.3,Inf,-Inf,0.294246392291244
"4",1.5,1.4,5.3,0.892465811965812
"5",2.9,Inf,-Inf,0.0247368421052632
"6",2.8,Inf,-Inf,0.0989303534303534
